hthg,htag,hs,hst,ast,hr,ar,result,index
1,1,8,1,4,0,0,-1,173
2,0,15,5,6,0,0,1,174
1,0,13,8,4,0,0,0,175
3,0,19,6,3,0,0,1,176
1,1,9,2,11,1,0,0,177
1,2,14,5,6,0,0,-1,178
0,0,6,1,4,0,0,1,179
1,0,11,5,6,0,0,0,180
0,1,6,2,3,0,0,-1,181
3,1,18,6,3,0,0,1,182
1,0,7,2,2,1,0,-1,183
0,0,6,4,9,0,0,-1,184
0,3,22,6,5,0,0,-1,185
1,1,10,4,5,0,0,1,186
0,2,17,6,5,0,0,-1,187
1,0,22,7,2,0,0,1,188
2,2,15,6,6,0,0,0,189
0,0,9,2,6,0,0,-1,190
2,1,12,6,4,0,0,1,191
1,0,13,5,3,0,0,1,192
0,0,19,4,1,0,0,0,193
0,0,11,6,1,0,0,1,194
0,0,12,1,5,0,0,0,195
2,0,14,3,5,0,0,1,196
1,0,9,5,10,0,0,1,197
0,1,13,9,6,0,0,0,198
1,0,27,13,1,0,0,1,199
1,2,15,5,5,0,0,-1,200
0,1,10,2,3,0,0,0,201
1,1,14,4,10,0,0,-1,202
0,0,18,8,5,0,0,-1,203
0,0,15,4,2,1,0,-1,204
0,1,15,1,3,0,0,-1,205
0,0,11,1,2,0,0,-1,206
0,0,13,4,3,0,0,-1,207
0,0,18,3,1,0,0,1,208
1,0,7,3,5,0,0,0,209
0,0,20,5,1,0,0,0,210
0,2,8,5,7,0,0,-1,211
0,0,15,5,5,0,0,0,212
0,0,15,7,3,0,0,1,213
0,0,13,2,5,0,0,0,214
1,1,20,9,3,0,0,1,215
0,0,9,3,1,0,0,1,216
0,1,9,3,5,0,0,0,217
1,0,15,7,2,0,0,1,218
1,0,5,1,5,0,0,0,219
1,1,8,3,10,0,0,-1,220
3,2,12,4,8,1,0,0,221
1,0,22,11,1,0,0,1,222
0,1,15,4,2,0,1,-1,223
1,0,12,8,4,0,0,0,224
0,0,9,2,3,0,0,0,225
2,0,21,10,0,0,0,1,226
0,1,9,1,6,0,0,-1,227
0,1,8,3,9,0,0,-1,228
0,1,8,5,4,0,0,-1,229
1,0,10,2,1,0,0,1,230
0,2,17,7,7,0,0,-1,231
1,1,13,2,3,0,0,0,232
0,0,19,7,3,0,1,1,233
1,1,11,3,3,0,0,0,234
