hthg,htag,hs,hst,ast,hr,ar,result,index
1,1,10,6,4,0,0,-1,754
1,0,19,5,4,0,0,1,755
2,0,21,11,3,0,0,1,756
1,0,12,3,3,0,0,1,757
2,0,14,7,5,0,0,1,758
1,2,14,4,4,0,0,-1,759
4,0,15,7,5,0,0,1,760
0,1,5,3,9,0,0,-1,761
0,0,13,3,3,0,0,0,762
0,0,10,4,3,0,0,1,763
0,0,6,2,3,0,1,0,764
0,1,11,3,3,0,0,-1,765
0,1,31,7,4,0,0,1,766
0,0,15,1,2,0,0,0,767
0,0,9,2,2,0,0,-1,768
1,0,11,5,7,0,0,1,769
1,1,16,9,5,0,0,1,770
0,2,22,7,4,0,0,-1,771
0,0,16,4,3,0,0,0,772
1,0,12,2,2,0,0,1,773
1,0,15,8,3,0,0,1,774
0,1,14,3,6,0,0,-1,775
2,1,30,10,2,0,0,0,776
0,0,15,3,4,0,0,1,777
1,0,14,5,3,0,0,0,778
0,1,6,2,2,0,0,0,779
1,0,7,3,1,0,0,1,780
2,2,6,5,8,0,0,-1,781
0,0,12,3,4,1,0,-1,782
0,1,22,3,3,0,0,-1,783
0,1,8,3,2,0,0,-1,784
1,1,23,3,10,0,0,-1,785
1,0,25,5,3,0,0,1,786
1,2,10,7,5,0,0,-1,787
0,1,17,2,3,0,0,-1,788
0,1,17,2,4,0,0,0,789
0,1,10,2,8,1,0,0,790
2,0,13,5,2,0,0,0,791
0,0,22,5,2,0,1,1,792
2,1,13,5,2,0,0,1,793
2,0,15,6,2,0,0,1,794
1,1,13,5,3,0,0,0,795
1,0,18,8,3,0,0,1,796
0,2,7,2,7,0,0,-1,797
2,1,15,6,5,0,1,1,798
1,2,26,8,9,0,0,0,799
2,1,21,9,1,0,0,1,800
0,0,14,5,1,0,0,0,801
1,0,10,5,3,0,0,1,802
0,0,17,4,7,1,0,-1,803
4,0,13,5,6,0,0,1,804
0,3,11,4,6,0,0,-1,805
2,1,7,3,8,0,0,1,806
1,1,13,6,5,0,0,1,807
0,2,31,7,4,0,0,0,808
0,0,10,5,1,0,1,0,809
0,2,25,6,3,0,0,-1,810
0,1,16,7,4,0,0,1,811
2,0,13,6,2,0,0,1,812
0,1,16,3,1,0,0,-1,813
5,0,28,11,4,0,0,1,814
0,0,11,4,3,0,0,0,815
0,0,13,4,4,0,1,0,816
1,0,8,6,3,0,0,1,817
0,1,21,6,9,1,0,1,818
0,2,13,2,3,0,0,-1,819
0,0,12,2,4,0,0,-1,820
1,0,16,3,3,0,0,0,821
1,1,13,5,6,0,0,0,822
0,0,24,10,1,0,0,1,823
1,0,15,3,3,0,0,1,824
2,1,9,4,6,1,0,1,825
1,0,6,2,5,0,0,1,826
1,1,12,8,9,0,0,-1,827
1,0,13,5,0,0,1,1,828
1,0,16,4,5,0,0,0,829
2,0,17,6,3,0,0,1,830
0,0,9,3,2,0,1,1,831
1,0,18,8,1,0,0,1,832
0,2,21,5,12,0,0,-1,833
0,0,8,2,3,0,0,0,834
0,0,9,4,4,0,0,-1,835
1,0,12,2,2,0,0,1,836
0,0,18,2,2,0,0,-1,837
1,3,10,3,7,0,0,-1,838
0,0,12,2,3,0,0,1,839
1,0,19,10,4,0,0,1,840
1,1,24,8,5,0,1,1,841
0,0,11,2,1,0,0,0,842
0,0,16,8,0,0,0,1,843
1,1,19,3,4,0,0,1,844
0,1,12,2,2,0,0,0,845
0,0,4,1,5,0,0,0,846
0,2,7,2,10,0,0,-1,847
1,0,7,2,4,0,0,0,848
1,0,8,2,3,0,0,1,849
0,5,6,3,15,1,0,-1,850
0,0,25,9,5,1,0,1,851
1,1,8,4,6,0,0,1,852
0,0,7,3,5,0,0,0,853
1,0,12,4,4,0,0,0,854
0,2,13,5,7,0,0,-1,855
1,0,13,2,5,1,0,0,856
2,1,15,6,4,0,0,0,857
0,1,21,13,4,0,0,1,858
0,2,10,3,11,0,0,-1,859
1,0,12,6,4,0,0,1,860
1,0,10,4,8,0,0,0,861
1,0,5,2,6,0,0,-1,862
0,0,21,5,0,0,0,1,863
0,1,26,4,3,0,0,1,864
3,0,13,6,0,0,0,1,865
0,2,16,6,9,0,0,-1,866
0,1,12,3,10,0,0,-1,867
0,0,12,3,5,0,0,-1,868
0,0,7,3,2,0,1,0,869
0,1,17,5,2,0,1,-1,870
0,0,23,5,1,0,0,1,871
2,0,14,12,4,0,0,1,872
1,1,20,9,3,0,0,1,873
0,1,4,3,5,0,0,-1,874
0,0,17,5,4,0,0,0,875
0,0,19,7,1,0,0,1,876
2,0,21,11,2,0,0,1,877
1,0,17,5,4,0,0,1,878
2,0,12,5,3,0,0,1,879
0,2,11,4,6,0,0,-1,880
1,1,12,5,6,0,0,0,881
0,2,9,2,7,1,0,-1,882
0,0,7,0,9,0,0,-1,883
0,0,16,6,4,0,0,-1,884
0,0,18,7,5,0,0,-1,885
0,0,15,4,5,0,0,-1,886
2,1,15,4,2,0,0,1,887
1,0,12,8,5,0,0,0,888
2,0,17,8,5,0,0,1,889
1,1,6,3,9,0,0,0,890
0,1,15,4,2,0,0,-1,891
0,0,19,6,4,0,0,-1,892
2,0,15,7,5,1,0,1,893
1,0,15,5,6,0,0,1,894
0,1,11,6,3,0,0,1,895
2,1,15,8,7,0,0,0,896
0,1,13,3,4,0,0,0,897
0,1,16,6,3,0,0,1,898
1,1,16,6,3,0,0,0,899
0,0,7,2,3,1,0,1,900
0,1,4,2,8,0,0,-1,901
1,1,25,9,3,0,0,1,902
0,0,12,6,1,0,0,1,903
1,1,12,7,5,0,0,1,904
2,0,14,5,3,0,0,1,905
1,0,13,7,3,0,0,1,906
4,2,11,5,4,0,0,1,907
0,1,13,6,4,0,0,-1,908
0,1,12,5,9,0,0,-1,909
1,0,13,7,4,0,0,1,910
0,2,3,0,9,0,0,-1,911
3,0,13,7,1,0,0,1,912
0,0,13,3,0,0,0,0,913
0,2,22,5,7,0,0,-1,914
1,2,15,2,8,0,0,-1,915
0,0,12,6,4,0,0,1,916
1,0,14,4,3,0,0,-1,917
2,2,13,4,5,0,0,0,918
1,0,11,4,3,0,0,-1,919
1,0,16,6,2,0,0,1,920
0,0,7,4,0,0,0,1,921
0,0,18,5,2,0,0,-1,922
1,1,18,5,3,0,0,0,923
0,0,7,3,0,0,0,1,924
0,1,11,2,4,0,0,-1,925
0,1,24,8,3,0,0,0,926
0,1,18,5,5,0,0,-1,927
0,3,6,1,7,0,0,-1,928
0,0,11,4,10,0,0,0,929
0,0,9,0,2,0,0,0,930
0,2,19,6,8,0,0,-1,931
0,0,3,0,1,0,0,-1,932
0,1,9,2,2,0,0,-1,933
0,0,8,3,4,0,0,1,934
1,0,13,7,4,0,0,-1,935
2,1,23,12,2,0,0,1,936
0,0,11,3,8,0,0,1,937
0,2,5,1,3,1,0,-1,938
0,1,11,5,5,0,0,1,939
0,0,11,2,6,0,0,1,940
1,0,12,4,2,0,0,0,941
0,1,10,3,3,0,0,-1,942
0,0,13,4,2,0,0,1,943
0,0,21,5,0,0,0,1,944
1,1,16,4,2,0,0,0,945
3,1,22,10,2,0,0,1,946
0,1,3,0,6,0,0,-1,947
0,1,20,8,3,0,1,1,948
1,0,16,6,2,0,0,1,949
0,1,20,5,9,0,0,-1,950
0,0,14,5,2,0,0,0,951
1,0,20,6,2,1,0,1,952
1,0,5,2,7,0,0,0,953
1,1,14,4,8,0,0,-1,954
0,1,8,1,5,0,0,-1,955
1,0,7,2,4,0,0,-1,956
1,0,10,3,2,0,0,1,957
0,0,16,4,0,0,0,1,958
0,1,16,5,5,0,0,0,959
0,2,20,1,6,0,0,-1,960
0,2,5,2,10,0,0,-1,961
1,0,12,3,5,0,0,1,962
1,0,9,3,4,1,0,1,963
0,0,16,7,2,0,0,1,964
1,0,15,4,3,0,0,0,965
3,0,14,7,2,0,0,1,966
2,0,10,4,4,0,0,1,967
1,0,19,7,2,0,0,1,968
0,0,13,3,2,0,0,1,969
0,1,6,3,4,0,1,0,970
2,0,18,8,2,0,0,1,971
1,0,14,6,2,0,0,1,972
1,1,5,5,10,0,0,-1,973
1,0,13,6,3,0,0,1,974
1,1,9,4,1,0,0,0,975
0,1,14,4,7,0,0,-1,976
0,1,10,1,6,0,0,-1,977
0,4,7,1,12,0,0,-1,978
0,0,15,2,5,0,0,0,979
1,0,11,4,4,0,0,0,980
1,0,10,2,3,0,0,0,981
0,1,25,6,3,0,0,0,982
1,0,16,5,3,1,1,1,983
2,0,11,5,4,0,0,-1,984
1,1,12,6,3,0,0,0,985
0,0,7,2,4,0,0,1,986
0,1,8,5,8,0,0,1,987
1,0,16,5,4,0,0,1,988
0,1,16,5,2,0,0,1,989
2,0,11,3,8,0,0,1,990
0,1,6,0,6,0,0,-1,991
1,0,17,8,2,0,0,0,992
0,0,4,1,5,0,0,-1,993
1,0,19,8,2,0,1,0,994
2,0,19,8,2,0,0,1,995
1,0,14,3,2,0,0,1,996
0,1,24,7,2,0,0,-1,997
0,1,10,3,6,0,0,-1,998
0,1,7,4,5,0,0,-1,999
0,0,14,4,3,0,0,0,1000
2,0,16,6,5,1,0,1,1001
0,0,13,3,3,0,0,-1,1002
0,0,16,9,4,0,0,1,1003
0,0,15,5,4,0,0,0,1004
2,2,11,2,5,0,1,-1,1005
2,0,12,6,6,0,0,0,1006
0,0,15,5,3,0,0,0,1007
0,0,15,2,2,0,0,0,1008
0,0,3,3,5,0,1,1,1009
1,0,14,8,2,0,0,1,1010
0,1,10,2,2,0,0,0,1011
1,1,16,6,2,0,0,1,1012
0,0,15,3,3,0,1,0,1013
1,1,10,2,6,0,0,-1,1014
0,0,5,1,6,0,0,-1,1015
1,2,18,4,10,0,0,-1,1016
0,0,15,7,2,0,0,1,1017
0,1,17,1,3,0,0,-1,1018
1,0,20,7,0,0,0,1,1019
1,0,17,7,3,0,0,1,1020
0,0,16,10,4,0,0,1,1021
1,0,18,9,2,0,1,1,1022
1,1,14,3,2,0,0,0,1023
1,0,28,9,1,0,0,1,1024
0,0,10,3,7,0,0,-1,1025
1,0,21,9,2,0,0,1,1026
2,0,19,6,4,0,0,1,1027
2,2,9,4,5,0,0,1,1028
1,1,25,7,4,0,0,1,1029
0,0,11,6,4,0,0,1,1030
0,0,24,8,3,0,0,-1,1031
0,1,9,5,6,0,0,0,1032
0,0,21,4,1,0,0,0,1033
2,1,14,7,2,0,0,1,1034
0,0,14,5,1,0,0,1,1035
1,1,16,5,5,0,0,0,1036
2,1,13,5,4,0,0,-1,1037
2,1,14,6,4,0,0,1,1038
0,0,9,2,6,0,0,1,1039
1,0,10,3,4,0,0,1,1040
1,0,10,4,5,0,0,1,1041
0,0,6,3,7,1,0,-1,1042
0,0,11,1,1,0,0,0,1043
1,0,21,8,2,0,0,0,1044
2,0,17,11,1,0,0,1,1045
1,0,12,6,2,0,0,1,1046
1,0,15,7,1,0,0,1,1047
0,0,14,6,1,0,0,0,1048
1,0,20,12,0,0,1,1,1049
0,0,9,1,9,0,0,-1,1050
1,0,10,3,6,0,0,0,1051
0,0,8,4,2,0,0,0,1052
0,0,9,5,6,0,0,1,1053
0,0,7,2,6,0,0,-1,1054
0,2,12,1,2,0,0,-1,1055
0,0,12,8,1,0,1,1,1056
1,0,8,4,5,0,0,-1,1057
0,0,9,3,3,0,0,0,1058
3,0,19,7,0,0,0,1,1059
0,0,11,2,2,0,0,0,1060
0,0,15,4,2,0,0,1,1061
2,0,15,6,1,0,0,1,1062
0,0,13,3,2,0,0,0,1063
0,0,9,1,5,0,0,-1,1064
0,0,10,2,0,0,0,1,1065
2,0,21,7,0,0,0,1,1066
0,0,9,5,4,0,0,1,1067
0,1,12,3,5,1,0,-1,1068
1,0,15,10,2,0,1,1,1069
0,0,11,1,2,0,0,-1,1070
0,1,8,0,7,0,0,-1,1071
0,0,17,4,4,0,0,-1,1072
0,2,8,2,6,0,0,-1,1073
2,0,13,8,2,0,0,1,1074
0,2,12,1,7,0,0,-1,1075
2,0,7,2,3,0,0,1,1076
1,1,10,4,6,0,0,1,1077
1,0,7,5,2,0,0,1,1078
3,0,14,6,3,0,0,1,1079
0,1,12,1,2,0,0,-1,1080
0,0,15,4,1,0,0,1,1081
3,1,19,10,3,0,0,1,1082
0,1,10,1,5,0,0,-1,1083
2,0,21,9,3,0,0,1,1084
1,0,9,4,3,0,0,0,1085
1,1,11,4,7,0,0,0,1086
0,0,6,4,3,0,0,1,1087
1,0,8,4,6,0,0,1,1088
1,0,12,2,3,0,0,1,1089
1,2,13,4,6,0,0,-1,1090
1,1,9,4,3,0,0,1,1091
1,0,11,7,5,1,0,0,1092
2,0,23,9,1,0,0,1,1093
0,0,7,3,1,0,0,1,1094
0,1,21,5,4,0,0,-1,1095
1,2,12,2,8,0,0,-1,1096
0,0,9,2,0,0,0,0,1097
1,1,11,4,4,0,0,0,1098
0,2,9,1,6,0,0,-1,1099
0,2,11,2,7,0,0,-1,1100
0,1,17,5,4,0,0,1,1101
1,0,23,9,2,0,0,0,1102
2,0,9,4,4,0,0,1,1103
0,2,3,0,8,0,0,-1,1104
1,0,14,7,2,0,0,1,1105
1,0,12,9,5,0,1,1,1106
1,1,15,9,4,0,0,1,1107
0,1,10,4,5,0,1,1,1108
2,1,8,4,5,0,0,0,1109
1,0,22,6,0,0,0,1,1110
0,0,9,1,5,0,0,0,1111
2,0,8,4,3,0,0,1,1112
0,1,22,6,5,0,0,-1,1113
2,1,3,2,8,0,0,1,1114
0,0,9,1,1,0,0,0,1115
1,0,15,7,1,0,0,1,1116
0,1,13,5,5,0,0,-1,1117
0,1,21,6,2,0,0,0,1118
3,0,10,4,3,0,0,1,1119
0,1,6,2,8,2,0,-1,1120
0,1,11,3,8,0,0,-1,1121
3,0,7,3,6,0,0,1,1122
0,0,11,3,1,0,0,0,1123
0,0,8,0,2,0,0,-1,1124
1,0,11,5,3,0,0,1,1125
0,2,2,0,10,0,0,-1,1126
1,0,8,3,0,0,0,1,1127
0,1,11,4,3,0,0,0,1128
3,1,10,7,5,0,0,1,1129
3,1,13,5,6,0,0,1,1130
1,1,13,2,4,0,0,-1,1131
2,0,11,3,1,0,0,1,1132
0,1,13,2,2,0,0,0,1133
1,2,13,5,7,0,0,-1,1134
0,0,14,3,3,1,0,-1,1135
2,0,31,10,4,0,0,1,1136
1,1,3,2,6,0,0,-1,1137
0,1,13,4,3,0,0,1,1138
0,0,10,1,4,0,0,0,1139
